,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,ROMI,Profit,ROI,profit
76,77.0,West Valley City,Utah,Region 2,Old,2555.0,49609.0,19.41643836,47054,1841.64,47054.0
77,78.0,New Haven,Connecticut,Region 1,Old,3162.0,45550.0,14.4054396,42388,1340.54,42388.0
78,79.0,Pueblo,Colorado,Region 2,Old,2928.0,19563.0,6.681352459,16635,568.14,16635.0
79,80.0,Costa Mesa,California,Region 2,Old,2275.0,41361.0,18.18065934,39086,1718.07,39086.0
80,81.0,Garden Grove,California,Region 2,Old,3285.0,57530.0,17.5129376,54245,1651.29,54245.0
81,82.0,Fort Lauderdale,Florida,Region 1,Old,3217.0,54768.0,17.02455704,51551,1602.46,51551.0
82,83.0,North Charleston,South Carolina,Region 1,Old,3115.0,18754.0,6.020545746,15639,502.05,15639.0
83,84.0,Cambridge,Massachusetts,Region 1,Old,2779.0,21286.0,7.65958978,18507,665.96,18507.0
84,85.0,Greeley,Colorado,Region 2,Old,3277.0,48796.0,14.89044858,45519,1389.04,45519.0
85,86.0,Gresham,Oregon,Region 2,Old,2745.0,19708.0,7.179599271,16963,617.96,16963.0
86,87.0,Amarillo,Texas,Region 2,Old,3984.0,56089.0,14.07856426,52105,1307.86,52105.0
87,88.0,High Point,North Carolina,Region 1,Old,3262.0,19752.0,6.055180871,16490,505.52,16490.0
88,89.0,Vista,California,Region 2,Old,2718.0,20949.0,7.707505519,18231,670.75,18231.0
89,90.0,Tacoma,Washington,Region 2,Old,2552.0,45666.0,17.89420063,43114,1689.42,43114.0
90,91.0,Mesquite,Texas,Region 2,Old,3072.0,40779.0,13.27441406,37707,1227.44,37707.0
91,92.0,Augusta,Georgia,Region 1,Old,2676.0,47482.0,17.74364723,44806,1674.36,44806.0
92,93.0,Elgin,Illinois,Region 1,Old,2553.0,18215.0,7.134743439,15662,613.47,15662.0
93,94.0,Aurora,Illinois,Region 1,Old,2685.0,50650.0,18.86405959,47965,1786.41,47965.0
94,95.0,Gainesville,Florida,Region 1,Old,2990.0,48933.0,16.36555184,45943,1536.56,45943.0
95,96.0,Dayton,Ohio,Region 1,Old,2805.0,42026.0,14.98253119,39221,1398.25,39221.0
96,97.0,Wichita Falls,Texas,Region 2,Old,2846.0,15735.0,5.528812368,12889,452.88,12889.0
97,98.0,Naperville,Illinois,Region 1,Old,2699.0,39856.0,14.76695072,37157,1376.7,37157.0
98,99.0,Clovis,California,Region 2,Old,2901.0,20669.0,7.124784557,17768,612.48,17768.0
99,100.0,Billings,Montana,Region 1,Old,3015.0,20541.0,6.812935323,17526,581.29,17526.0
100,101.0,Surprise,Arizona,Region 2,Old,2160.0,33647.0,15.57731481,31487,1457.73,31487.0
101,102.0,Coral Springs,Florida,Region 1,Old,3079.0,41319.0,13.41961676,38240,1241.96,38240.0
102,103.0,Visalia,California,Region 2,Old,2104.0,45632.0,21.68821293,43528,2068.82,43528.0
103,104.0,Killeen,Texas,Region 2,Old,2962.0,43773.0,14.77819041,40811,1377.82,40811.0
104,105.0,Orange,California,Region 2,Old,2830.0,36821.0,13.01095406,33991,1201.1,33991.0
105,106.0,Richardson,Texas,Region 2,Old,3228.0,22824.0,7.07063197,19596,607.06,19596.0
106,107.0,South Bend,Indiana,Region 1,Old,3005.0,21953.0,7.305490849,18948,630.55,18948.0
107,108.0,Fayetteville,North Carolina,Region 1,Old,3020.0,51229.0,16.96324503,48209,1596.32,48209.0
108,109.0,Sioux Falls,South Dakota,Region 1,Old,2947.0,50583.0,17.16423482,47636,1616.42,47636.0
109,110.0,Grand Prairie,Texas,Region 2,Old,3131.0,50895.0,16.25519004,47764,1525.52,47764.0
110,111.0,Stamford,Connecticut,Region 1,Old,2901.0,46503.0,16.02998966,43602,1503.0,43602.0
111,112.0,West Palm Beach,Florida,Region 1,Old,2926.0,18089.0,6.182159945,15163,518.22,15163.0
112,113.0,Knoxville,Tennessee,Region 2,Old,3086.0,56504.0,18.30978613,53418,1730.98,53418.0
113,114.0,Renton,Washington,Region 2,Old,2754.0,44635.0,16.20733479,41881,1520.73,41881.0
114,115.0,McAllen,Texas,Region 2,Old,2282.0,43924.0,19.24802805,41642,1824.8,41642.0
115,116.0,Woodbridge,New Jersey,Region 1,Old,3319.0,19811.0,5.968966556,16492,496.9,16492.0
116,117.0,Shreveport,Louisiana,Region 1,Old,3081.0,56140.0,18.2213567,53059,1722.14,53059.0
117,118.0,Bellevue,Washington,Region 2,Old,2542.0,40462.0,15.91738788,37920,1491.74,37920.0
118,119.0,Huntington Beach,California,Region 2,Old,2527.0,54145.0,21.4265928,51618,2042.66,51618.0
119,120.0,Santa Clarita,California,Region 2,Old,2967.0,51882.0,17.48634985,48915,1648.63,48915.0
120,121.0,Sterling Heights,Michigan,Region 1,Old,2357.0,35022.0,14.85871871,32665,1385.87,32665.0
121,122.0,Mobile,Alabama,Region 1,Old,2838.0,49290.0,17.36786469,46452,1636.79,46452.0
122,123.0,Bridgeport,Connecticut,Region 1,Old,2914.0,47108.0,16.16609472,44194,1516.61,44194.0
123,124.0,Daly City,California,Region 2,Old,2658.0,20703.0,7.788939052,18045,678.89,18045.0
124,125.0,Rochester,Minnesota,Region 1,Old,2854.0,18099.0,6.341625788,15245,534.16,15245.0
125,126.0,Sandy Springs,Georgia,Region 1,Old,2759.0,18942.0,6.865530989,16183,586.55,16183.0
126,127.0,Cedar Rapids,Iowa,Region 1,Old,2553.0,52072.0,20.3963964,49519,1939.64,49519.0
127,128.0,Columbus,Georgia,Region 1,Old,2877.0,55203.0,19.18769552,52326,1818.77,52326.0
128,129.0,Moreno Valley,California,Region 2,Old,3507.0,59254.0,16.89592244,55747,1589.59,55747.0
129,130.0,Pompano Beach,Florida,Region 1,Old,2608.0,21603.0,8.283358896,18995,728.34,18995.0
130,131.0,Savannah,Georgia,Region 1,Old,2028.0,36029.0,17.76577909,34001,1676.58,34001.0
131,132.0,West Jordan,Utah,Region 2,Old,2773.0,21056.0,7.593220339,18283,659.32,18283.0
132,133.0,Des Moines,Iowa,Region 1,Old,2995.0,57432.0,19.17595993,54437,1817.6,54437.0
133,134.0,Green Bay,Wisconsin,Region 1,Old,3586.0,18454.0,5.146123815,14868,414.61,14868.0
134,135.0,Santa Rosa,California,Region 2,Old,3067.0,59060.0,19.25660254,55993,1825.66,55993.0
135,136.0,San Mateo,California,Region 2,Old,1811.0,19426.0,10.72667035,17615,972.67,17615.0
136,137.0,Warren,Michigan,Region 1,Old,2736.0,47262.0,17.27412281,44526,1627.41,44526.0
137,138.0,Norwalk,California,Region 2,Old,3112.0,19703.0,6.331298201,16591,533.13,16591.0
138,139.0,Lafayette,Louisiana,Region 1,Old,2603.0,40255.0,15.46484825,37652,1446.48,37652.0
139,140.0,Providence,Rhode Island,Region 1,Old,3191.0,62337.0,19.53525541,59146,1853.53,59146.0
140,141.0,Chattanooga,Tennessee,Region 2,New,3587.0,55357.0,15.43267354,51770,1443.27,51770.0
141,142.0,Tempe,Arizona,Region 2,New,2911.0,48954.0,16.81690141,46043,1581.69,46043.0
142,143.0,Joliet,Illinois,Region 1,New,3279.0,48315.0,14.73467521,45036,1373.47,45036.0
143,144.0,Rancho Cucamonga,California,Region 2,New,2945.0,52366.0,17.78132428,49421,1678.13,49421.0
144,145.0,Glendale,California,Region 2,New,2363.0,49376.0,20.89547186,47013,1989.55,47013.0
145,146.0,Paterson,New Jersey,Region 1,New,2251.0,34603.0,15.37227899,32352,1437.23,32352.0
146,147.0,Brownsville,Texas,Region 2,New,3675.0,63148.0,17.18312925,59473,1618.31,59473.0
147,148.0,Rockford,Illinois,Region 1,New,2648.0,43377.0,16.3810423,40729,1538.1,40729.0
148,149.0,College Station,Texas,Region 2,New,2994.0,22457.0,7.500668003,19463,650.07,19463.0
149,150.0,Thousand Oaks,California,Region 2,New,2431.0,40141.0,16.51213492,37710,1551.21,37710.0
